Статус,Количество
"Process, Active",18
"Informational, Active",16
"Informational, Final",48
"Informational, Accepted",1
"Standards Track, Provisional",2
"Standards Track, Accepted",16
"Standards Track, Draft",37
"Informational, Draft",3
"Process, Draft",2
"Standards Track, Final",265
"Process, Superseded",3
"Process, Final",16
"Standards Track, Deferred",32
"Process, Deferred",1
"Informational, Deferred",2
"Process, Withdrawn",8
"Informational, Superseded",6
"Informational, Withdrawn",11
"Standards Track, Rejected",109
"Standards Track, Withdrawn",46
"Standards Track, Superseded",15
"Informational, Rejected",12
"Process, Rejected",3
Unknown,1
Total,673
